event,datetime,lon,lat,depth,intensity,station_id,station_name,station_lon,station_lat,distance,az,pga_v,pga_ns,pga_ew,d,pga_max,pga
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,EWT,Wuta,329081.6756176162,2705083.6161126345,187.56,209.39,0.96,1.16,1.16,187845.45087331906,1.16,1.9007366992826755
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ENT,Niudou,307702.9339792635,2726023.941715974,197.99,201.06,0.41,0.9,0.9,197856.96039372165,0.9,1.3371985641631539
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,HSN,ZhubeiCity,251010.78439921382,2746948.3079616604,206.34,183.93,0.43,0.69,0.69,206412.037746473,0.69,1.0663489110042734
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,TWE,Neicheng,318794.99023466464,2734935.5631002537,210.39,203.01,0.3,0.82,0.82,210240.8217380473,0.82,1.1978313737751236
26,2019-04-04 09:56:55,237695.80281942332,2540966.1713765156,10.0,5.2,ILA,YilanCity,326864.21646723663,2739408.6720154667,218.03,204.29,0.49,0.84,0.84,217555.58382240534,0.84,1.2850291825480074
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,SHUL,Shuilian,307067.98607105465,2631879.043906284,8.73,168.69,4.4,7.46,7.46,9091.414655681489,7.46,11.430800496903094
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ESL,Xilin,294832.08213291,2634050.9237001794,18.04,128.75,4.45,8.86,8.86,18063.766250207183,8.86,13.296680036761055
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,EYL,Yanliao,311092.7932948438,2644078.08310115,21.56,186.1,3.39,8.84,8.84,21140.822943697494,8.84,12.953119315439041
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,HWA,HualienCity,312072.7542644263,2652942.4806326255,29.55,186.73,1.4,3.16,3.16,30058.23982551872,3.16,4.683075912261086
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,ETM,Tongmen,299865.3439983832,2651787.3438262157,29.63,162.66,7.09,5.91,7.09,30219.107459122864,7.09,11.63891317950263
27,2019-04-04 20:56:50,309142.29724918446,2623027.4308567983,31.0,4.5,EHY,Hongye,283703.29888258694,2599690.051044772,34.22,48.1,2.3,4.74,4.74,34522.107907636935,4.74,7.086973966369568
